"Genes"	"Main-effect Genotype (logFC)"	"Main-effect Gentyope (FDR)"	"Main-effect Age (logFC)"	"Main-effect Age (FDR)"	"Linear Effect (logFC)"	"Linear Effect (FDR)"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	-0.0277200011401829	0.999518715991509	-0.0086561180764212	0.649610235582922	0.00338130926800916	0.989564659851257	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	-0.471399138502243	0.999518715991509	-0.00767542629498557	0.978101222856682	0.0434678691113326	0.788287295159422	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	-0.182988774199152	0.999518715991509	-0.0102432084273294	0.960173149485163	0.0198651777847467	0.964237970578854	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.133044075312247	0.999518715991509	-0.00913080881064922	0.501314279111442	0.00283998965840444	0.990489316341684	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	0.209975885500609	0.999518715991509	0.00779990891888313	0.698224962812576	-0.0155272354470429	0.610869796810342	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.110575956779416	0.999518715991509	0.00121552713778203	0.993324560417075	-0.0112372757671795	0.79357609318817	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.0052228056730445	0.999518715991509	-0.0084209884027336	0.635212721365106	0.000547855898807802	0.994752309483184	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	-0.156147180726377	0.999518715991509	-0.0108363516684538	0.378798616167271	0.00475677922865872	0.974117096406775	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	-0.665571417411509	0.999518715991509	0.0101761036821569	0.959738687482728	0.0481547880519993	0.725126392192763	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.395564499790207	0.999518715991509	-0.0163899035639694	0.747285758593042	0.0310281174937733	0.707721669911361	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	-0.00302400024085779	0.999518715991509	0.0255985273091755	0.427521725110452	-0.00336962070966561	0.993837765332883	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.0738696279016609	0.999518715991509	-0.0150747300572302	0.55028958407102	-0.00583227646915974	0.988523530620946	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.0918946007334999	0.999518715991509	0.00353461855478579	0.973948961212949	-0.0126392430297126	0.927524273356476	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	-0.0100541722709931	0.999518715991509	0.00224862143707075	0.966607296896259	0.00322890678140563	0.987538689357039	"Xpo6"	"exportin 6"
"ENSMUSG00000000134"	-0.0918020556964259	0.999518715991509	-0.00712756435542318	0.793643801012726	0.00959262183724842	0.911229535980707	"Tfe3"	"transcription factor E3"
"ENSMUSG00000000142"	-0.0469105111114367	0.999518715991509	-0.00755042955282624	0.852065956957888	0.00280204271829025	0.993837765332883	"Axin2"	"axin2"
